"OBJECTID","COMMONNAME","COUNTY","GEOCODE","CNTYCODE","STATUS","CODE1982","CODE1971","NOTES"
864,"Kossuth Twp","Washington","29808","29","U","29808","29808"," "
865,"Lambert Lake Twp","Washington","29809","29","U","29809","29809"," "
866,"Marion Twp","Washington","29810","29","U","29810","29810"," "
867,"Trescott Twp","Washington","29811","29","U","29811","29811"," "
868,"Sakom Twp","Washington","29812","29","U","29812","29812","From T5 ND BPP in 2001, MRS1 Ch28 section 1501"
869,"T6 ND BPP","Washington","29813","29","U","29813","29813"," "
870,"T6 R1 NBPP","Washington","29814","29","U","29814","29814"," "
871,"T8 R3 NBPP","Washington","29815","29","U","29815","29815"," "
872,"T8 R4 NBPP","Washington","29816","29","U","29816","29816"," "
873,"T11 R3 NBPP","Washington","29817","29","U","29817","29817"," "
874,"Berry Twp","Washington","29818","29","U","29818","29818"," renamed 9/12/09 LD 619"
875,"T18 MD BPP","Washington","29819","29","U","29819","29819"," "
876,"T19 ED BPP","Washington","29820","29","U","29820","29820"," "
877,"T19 MD BPP","Washington","29821","29","U","29821","29821"," "
878,"T24 MD BPP","Washington","29822","29","U","29822","29822"," "
879,"T25 MD BPP","Washington","29823","29","U","29823","29823"," "
880,"T26 ED BPP","Washington","29824","29","U","29824","29824"," "
881,"Greenlaw Chopping Twp","Washington","29825","29","U","29825","29825","renamed 9/12/09 LD 619"
882,"T30 MD BPP","Washington","29826","29","U","29826","29826"," "
883,"Day Block Twp","Washington","29827","29","U","29827","29827","renamed 9/12/09 LD 619"
884,"T36 MD BPP","Washington","29828","29","U","29828","29828"," "
885,"T37 MD BPP","Washington","29829","29","U","29829","29829"," "
886,"T42 MD BPP","Washington","29830","29","U","29830","29830"," "
887,"T43 MD BPP","Washington","29831","29","U","29831","29831"," "
888,"Indian Twp Res","Washington","29832","29","R","29832","29832"," "
889,"Acton","York","31010","31","T","31010","31010"," "
890,"Alfred","York","31020","31","T","31020","31020"," "
891,"Arundel","York","31030","31","T","31030","31030"," "
892,"Berwick","York","31040","31","T","31040","31040"," "
893,"Biddeford","York","31050","31","C","31050","31050"," "
894,"Buxton","York","31060","31","T","31060","31060"," "
895,"Cornish","York","31070","31","T","31070","31070"," "
896,"Dayton","York","31080","31","T","31080","31080"," "
897,"Eliot","York","31090","31","T","31090","31090"," "
898,"Hollis","York","31100","31","T","31100","31100"," "
899,"Kennebunk","York","31110","31","T","31110","31110"," "
900,"Kennebunkport","York","31120","31","T","31120","31120"," "
901,"Kittery","York","31130","31","T","31130","31130"," "
902,"Lebanon","York","31140","31","T","31140","31140"," "
903,"Limerick","York","31150","31","T","31150","31150"," "
904,"Limington","York","31160","31","T","31160","31160"," "
905,"Lyman","York","31170","31","T","31170","31170"," "
906,"Newfield","York","31180","31","T","31180","31180"," "
907,"North Berwick","York","31190","31","T","31190","31190"," "
908,"Ogunquit","York","31197","31","T","31197","31197"," "
909,"Old Orchard Beach","York","31200","31","T","31200","31200"," "
910,"Parsonsfield","York","31210","31","T","31210","31210"," "
911,"Saco","York","31220","31","C","31220","31220"," "
912,"Sanford","York","31230","31","T","31230","31230"," "
913,"Shapleigh","York","31240","31","T","31240","31240"," "
914,"South Berwick","York","31250","31","T","31250","31250"," "
915,"Waterboro","York","31260","31","T","31260","31260"," "
916,"Wells","York","31270","31","T","31270","31270"," "
917,"York","York","31280","31","T","31280","31280"," "
918,"Chebeague Island","Cumberland","05055","05","T"," "," ","Newly created town July 1, 2007"
841,"Cathance Twp","Washington","29330","29","U","29833","29330","Recoded back to original code, renamed 9/12/09 LD 619"
172,"Madawaska Lake Twp","Aroostook","03889","03","U","03889","03889"," LD 33, Private and Special Law, Chapt. 7-HP 28, Part K"
919,"Androscoggin County Island","Androscoggin","01000","01",,,,"Added GEOCODE for County 01000"
920,"Aroostook County Island","Aroostook","03000","03",,,,"Added GEOCODE for County 03000"
921,"Cumberland County Island","Cumberland","05000","05",,,,"Added GEOCODE for County 05000"
922,"Franklin County Island","Franklin","07000","07",,,,"Added GEOCODE for County 07000"
923,"Hancock County Island","Hancock","09000","09",,,,"Added GEOCODE for County 09000"
924,"Kennebec County Island","Kennebec","11000","11",,,,"Added GEOCODE for County 11000"
925,"Knox County Island","Knox","13000","13",,,,"Added GEOCODE for County 13000"
926,"Lincoln County Island","Lincoln","15000","15",,,,"Added GEOCODE for County 15000"
927,"Oxford County Island","Oxford","17000","17",,,,"Added GEOCODE for County 17000"
928,"Penobscot County Island","Penobscot","19000","19",,,,"Added GEOCODE for County 19000"
929,"Sagadahoc County Island","Sagadahoc","23000","23",,,,"Added GEOCODE for County 23000"
930,"Somerset County Island","Somerset","25000","25",,,,"Added GEOCODE for County 25000"
931,"Waldo County Island","Waldo","27000","27",,,,"Added GEOCODE for County 27000"
932,"Washington County Island","Washington","29000","29",,,,"Added GEOCODE for County 29000"
933,"York County Island","York","31000","31",,,,"Added GEOCODE for County 31000"
1,"Auburn","Androscoggin","01010","01","C","01010","01010"," "
2,"Durham","Androscoggin","01020","01","T","01020","01020"," "
3,"Greene","Androscoggin","01030","01","T","01030","01030"," "
4,"Leeds","Androscoggin","01040","01","T","01040","01040"," "
5,"Lewiston","Androscoggin","01050","01","C","01050","01050"," "
6,"Lisbon","Androscoggin","01060","01","T","01060","01060"," "
7,"Livermore","Androscoggin","01070","01","T","01070","01070"," "
8,"Livermore Falls","Androscoggin","01080","01","T","01080","01080"," "
9,"Mechanic Falls","Androscoggin","01090","01","T","01090","01090"," "
10,"Minot","Androscoggin","01100","01","T","01100","01100"," "
11,"Poland","Androscoggin","01110","01","T","01110","01110"," "
12,"Turner","Androscoggin","01120","01","T","01120","01120"," "
13,"Wales","Androscoggin","01130","01","T","01130","01130"," "
14,"Sabattus","Androscoggin","01140","01","T","01140","01140"," "
15,"Allagash","Aroostook","03010","03","T","03010","03010"," "
16,"Amity","Aroostook","03020","03","T","03020","03020"," "
17,"Ashland","Aroostook","03030","03","T","03030","03030"," "
18,"Bancroft","Aroostook","03040","03","T","03040","03040"," "
19,"Benedicta Twp","Aroostook","03050","03","U","03909","03050","Recoded back to original code"
20,"Blaine","Aroostook","03060","03","T","03060","03060"," "
21,"Bridgewater","Aroostook","03070","03","T","03070","03070"," "
22,"Caribou","Aroostook","03080","03","C","03080","03080"," "
23,"Cary Plt","Aroostook","03090","03","P","03090","03090"," "
24,"Castle Hill","Aroostook","03100","03","T","03100","03100"," "
25,"Caswell","Aroostook","03110","03","T","03110","03110","From plantation to town March 29, 1986"
26,"Chapman","Aroostook","03120","03","T","03120","03120"," "
27,"Crystal","Aroostook","03130","03","T","03130","03130"," "
28,"Cyr Plt","Aroostook","03140","03","P","03140","03140"," "
29,"Dyer Brook","Aroostook","03150","03","T","03150","03150"," "
30,"E Twp","Aroostook","03160","03","U","03910","03160","Recoded back to original code"
31,"Eagle Lake","Aroostook","03170","03","T","03170","03170"," "
32,"Easton","Aroostook","03180","03","T","03180","03180"," "
33,"Fort Fairfield","Aroostook","03190","03","T","03190","03190"," "
34,"Fort Kent","Aroostook","03200","03","T","03200","03200"," "
35,"Frenchville","Aroostook","03210","03","T","03210","03210"," "
36,"Garfield Plt","Aroostook","03220","03","P","03220","03220"," "
37,"Glenwood Plt","Aroostook","03230","03","P","03230","03230"," "
38,"Grand Isle","Aroostook","03240","03","T","03240","03240"," "
39,"Hamlin","Aroostook","03250","03","T","03250","03250"," "
40,"Hammond","Aroostook","03260","03","T","03260","03260"," "
41,"Haynesville","Aroostook","03270","03","T","03270","03270"," "
42,"Hersey","Aroostook","03280","03","T","03280","03280"," "
43,"Hodgdon","Aroostook","03290","03","T","03290","03290"," "
44,"Houlton","Aroostook","03300","03","T","03300","03300"," "
45,"Island Falls","Aroostook","03310","03","T","03310","03310"," "
46,"Limestone","Aroostook","03320","03","T","03320","03320"," "
47,"Linneus","Aroostook","03330","03","T","03330","03330"," "
48,"Littleton","Aroostook","03340","03","T","03340","03340"," "
49,"Ludlow","Aroostook","03350","03","T","03350","03350"," "
50,"Macwahoc Plt","Aroostook","03360","03","P","03360","03360"," "
51,"Madawaska","Aroostook","03370","03","T","03370","03370"," "
52,"Mapleton","Aroostook","03380","03","T","03380","03380"," "
53,"Mars Hill","Aroostook","03390","03","T","03390","03390"," "
54,"Masardis","Aroostook","03400","03","T","03400","03400"," "
55,"Merrill","Aroostook","03410","03","T","03410","03410"," "
56,"Monticello","Aroostook","03420","03","T","03420","03420"," "
57,"Moro Plt","Aroostook","03430","03","P","03430","03430"," "
58,"Nashville Plt","Aroostook","03440","03","P","03440","03440"," "
59,"New Canada","Aroostook","03450","03","T","03450","03450"," "
60,"New Limerick","Aroostook","03460","03","T","03460","03460"," "
61,"New Sweden","Aroostook","03470","03","T","03470","03470"," "
62,"Oakfield","Aroostook","03480","03","T","03480","03480"," "
63,"Orient","Aroostook","03490","03","T","03490","03490"," "
64,"Oxbow Plt","Aroostook","03500","03","P","03500","03500"," "
65,"Perham","Aroostook","03510","03","T","03510","03510"," "
66,"Portage Lake","Aroostook","03520","03","T","03520","03520"," "
67,"Presque Isle","Aroostook","03530","03","C","03530","03530"," "
68,"Reed Plt","Aroostook","03540","03","P","03540","03540"," "
69,"Saint Agatha","Aroostook","03550","03","T","03550","03550"," "
70,"Saint Francis","Aroostook","03560","03","T","03560","03560"," "
71,"Saint John Plt","Aroostook","03570","03","P","03570","03570"," "
72,"Sherman","Aroostook","03580","03","T","03580","03580"," "
73,"Smyrna","Aroostook","03590","03","T","03590","03590"," "
74,"Stockholm","Aroostook","03600","03","T","03600","03600"," "
75,"Van Buren","Aroostook","03610","03","T","03610","03610"," "
76,"Wade","Aroostook","03620","03","T","03620","03620"," "
77,"Wallagrass","Aroostook","03630","03","T","03630","03630","From plantation to town March 29, 1986"
78,"Washburn","Aroostook","03640","03","T","03640","03640"," "
79,"Westfield","Aroostook","03650","03","T","03650","03650"," "
80,"Westmanland","Aroostook","03660","03","T","03660","03660"," "
81,"Weston","Aroostook","03670","03","T","03670","03670"," "
