id,utme,utmn,watershed,focusarea,name,type,year-compl,upstream,drainage,bankfull-estimated,bankfull-calculated,sponsor,cost-culve,cost-total,survey-date-pre,survey-date-post,design,permit,dimension-length,dimension-height,dimension-width,longitude,latitude
0,588873,4978913,Middle Machias River,West Branch Machias River,West Branch Machias tributary,Decommission,2006,0.5,0.4,,6.4,,,,,,,,,,,-67.87321,44.958097
1,591159,4986723,Old Stream,Old Stream,Unnamed tributary,Open Arch,2009,0.29,0.18,5,4.8,,11791,33546,,,,,48,8,"4'2""",-67.842819,45.028098
2,589883,4991837,Upper Machias River,Third Machias Lake-First Machias Lake,43 Washout,Open Arch,2009,0.63,0.8,7,8.1,,11566,25124,,,,,44,9,"4'8""",-67.858098,45.074287
3,588329,4979450,Middle Machias River,West Branch Machias River,West Branch Machias tributary,Open Arch,2007,0.5,0.21,6,5.1,,11748,28189,,,,,,10,,-67.880012,44.962998
4,588996,4976904,Middle Machias River,Pembroke Stream-Machias River,,Open Arch,2007,0.2,0.22,4,5.2,,13793,41332,,,,,,10,,-67.872005,44.94
5,588909,4977458,Middle Machias River,Pembroke Stream-Machias River,,Open Arch,2007,0.3,0.61,6,7.4,,15735,38728,,,,,,12,,-67.87301,44.944997
6,589146,4983029,Middle Machias River,Pembroke Stream-Machias River,Kerwin brook,Open Arch,2010,3.3,4.5,,14.6,NOAA,20810,58235,,,NRCS,LURC,56,20,"6'4""",-67.869022,44.995107
7,600370,4977498,Old Stream,Old Stream,Colson brook,Open Arch,2010,1.5,0.95,,8.6,DPS,14387,32712,8/13/2009,,,,48,11,"5'9""",-67.727759,44.943831
8,596868,4979786,Old Stream,Old Stream,Unnamed brook,Open Arch,2010,0.29,0.13,,4.3,NOAA,8489,17646,11/4/2009,,Contech,LURC,40,6,"3'2""",-67.771699,44.964908
9,596034,4979651,Old Stream,Old Stream,Unnamed brook,Open Arch,2010,0.38,0.21,,5.1,NOAA,10122,17063,10/6/2009,,Contech,LURC,44,7,"3'8""",-67.782298,44.963807
10,594945,4980679,Old Stream,Old Stream,Dead Stream-Bowles brook,Open Arch,2009,5.1,4.5,16,14.6,,22189,79636.5,,,NRCS,LURC,60,20,"8'3""",-67.795909,44.973205
11,598582,4976612,Old Stream,Old Stream,Honeymoon,Open Arch,2009,2.1,1.7,9,10.5,,14285.76,29488.91,8/16/2009,,NRCS,LURC,48,11,"5'9""",-67.75059,44.936107
12,598429,4976809,Old Stream,Old Stream,Honeymoon tributary,Open Arch,2009,0.48,0.88,6,8.3,,11566.1,29239.71,,,NRCS,LURC,44,9,"4'8""",-67.752491,44.937901
13,597013,4978543,Old Stream,Old Stream,Old Stream tributary,Open Arch,2010,0.21,0.22,,5.2,NOAA,10525,20499,,,Contech,LURC,50,6,,-67.7701,44.953702
14,597226,4978091,Old Stream,Old Stream,Old Stream tributary,Open Arch,2010,0.31,0.22,,5.2,NOAA,9172,16247,10/8/2009,,Contech,LURC,40,7,"3'8""",-67.767487,44.949605
15,597256,4976591,Old Stream,Old Stream,Honeymoon tributary,Decommission,2008,0.5,0.44,,6.6,,,,,,,,,,,-67.767396,44.936101
16,598144,4976849,Old Stream,Old Stream,Honeymoon tributary,Decommission,2008,1.49,0.9,,8.4,,,,,,,,,,,-67.756094,44.938301
17,595284,4982906,Old Stream,Old Stream,Dead Stream into 1st Lake,Open Arch,2010,5.8,6.25,,16.3,Old Stream,31060,,6/22/2010,,,,60,20,"8'3.5""",-67.79119,44.993203
18,595386,4983629,Old Stream,Old Stream,Unnamed tributary,Open Arch,2009,0.18,0.12,5,4.2,,7212.65,15055.65,,,Contech,LURC,34,6,"3'2""",-67.789759,44.999696
19,596189,4983292,Old Stream,Old Stream,Tributary to 1st Lake,Open Arch,2010,2.2,1.7,,10.5,Old Stream,15969,38812,,,,,52,12,"6'3""",-67.779638,44.996554
20,593588,4983002,Old Stream,Old Stream,Dead Stream tributary,Decommission,2009,0.51,0.49,9,6.8,Old Stream,0,5513.5,9/3/2009,,Contech,LURC,,,,-67.812684,44.994292
21,592766,4982525,Old Stream,Old Stream,Dead stream,Open Arch,2009,1.12,1.01,10,8.7,,15141.68,54385.24,8/25/2009,,NRCS,LURC,48,12,"6'3""",-67.823198,44.990107
22,591979,4988946,Old Stream,Old Stream,Lanpher brook,Open Arch,2007,0.4,0.62,9,7.4,,16922,32088,,,,,,12,,-67.832005,45.047999
23,591700,4987575,Old Stream,Old Stream,Dead stream,Open Arch,2009,0.41,0.43,6,6.5,,13429,43044,,,,,48,10,"5'3""",-67.835797,45.035696
24,592555,4987175,Old Stream,Old Stream,Dead stream,Open Arch,2009,0.63,0.69,8,7.7,,15141.68,36722.82,,,Contech,LURC,48,12,"6'3""",-67.825018,45.031985
25,593414,4987744,Old Stream,Old Stream,Lanpher brook,Decommission,2010,1.1,1.5,,10,,,2000,,7/12/2011,,,,,,-67.81401,45.036993
26,593749,4987248,Old Stream,Old Stream,Lanpher brook,Open Arch,2010,1.65,1.7,,10.5,Old Stream,20760,43228,,,,,54,15,"6'2""",-67.80985,45.032485
27,593700,4984415,Old Stream,Old Stream,Dead stream,Decommission,2010,5.6,3.85,,13.8,Old Stream,,2000,,,,,,,,-67.811,45.006994
28,607548,4995245,East Machias River-Round Lake,Crawford Lake,Huntley brook,Open Arch,2006,2.1,3.8,13,13.8,,29934,63209,,,,,,16,,-67.633003,45.102492
29,583082,4972913,Lower Machias River,Mopang Lake-Mopang Stream,Mopang tributary,Decommission,2006,0.3,0.62,,7.4,,,,,,,,,,,-67.947606,44.904794
30,565012,4980403,Narraguagus River-Narraguagus Bay,Beddington Lake,Tributary to Jimmy's Pond,Open Arch,2006,1.6,0.6,6,7.3,,11814,34346.94,,,,,,13,,-68.175506,44.974092
31,572085,4957948,Narraguagus River-Narraguagus Bay,West Branch Narraguagus River,Pork brook,Open Arch,2006,2.1,2.04,12,11.1,,18942,43636.44,,,,,,14,,-68.089011,44.771292
32,596480,4982457,Old Stream,Old Stream,Old Stream tributary,Open Arch,2006,0.5,0.47,7,6.7,,4386,10894,,,,,30,9,,-67.776106,44.989
33,564351,4980274,Narraguagus River-Narraguagus Bay,Beddington Lake,West Branch Narraguagas tributary,Open Arch,2006,1.4,0.63,6,7.4,,17902,43458.32,,,,,,13,,-68.183905,44.972991
34,596979,4984897,Old Stream,Old Stream,Old Stream tributary,Open Arch,2006,0.7,0.22,5,5.2,,2637,6535,,,,,30,6,,-67.769308,45.010892
35,597233,4983768,Old Stream,Old Stream,Old Stream tributary,Open Arch,2006,0.5,0.55,8,7.1,,3730,9498,,,,,30,8,,-67.766303,45.000696
36,596190,4988619,Old Stream,First Chain Lake,Chain Lake tributary,Open Arch,2006,0.5,0.45,7,6.6,,4849,10720,,,,,30,8,,-67.778606,45.044496
37,596589,4986725,Old Stream,First Chain Lake,Chain Lake tributary,Open Arch,2006,0.5,0.1,3,4,,2132,5820,,,,,30,4,,-67.773905,45.027397
