dam_id,utme,utmn,name,condition,status,focusarea,comments,reference,long,lat
0,567259,4945180,Mill Stream,suspect,,Spring River,,,-68.151674,44.656833
1,568414,4955324,Mohanon Brook,suspect,,West Branch Narraguagus River,,,-68.13575,44.748034
2,569444,4970128,Oaks Camp Dam,suspect,,Beddington Lake,,,-68.120718,44.881188
3,570047,4947525,Spring River Dam,suspect,,Spring River,,,-68.116193,44.677674
4,571508,4971611,28 Pond,suspect,,Beddington Lake,,,-68.094377,44.894332
5,571716,4978287,35 stream dam,remnant,scheduled,Beddington Lake,Two dams nearby.,,-68.090796,44.954401
6,572031,4957754,Pork Brook,remnant,completed,West Branch Narraguagus River,Borrow pit evident.,,-68.08972,44.769552
7,572649,4959373,Above 73-00-0 Road,suspect,,West Branch Narraguagus River,,,-68.08168,44.784062
8,572723,4971605,Rocky Brook,suspect,,Beddington Lake,,,-68.078993,44.894155
9,572732,4977610,Above 35 dam,suspect,,Beddington Lake,,,-68.078015,44.948204
10,572753,4957318,Pork Brook,remnant,,West Branch Narraguagus River,Borrow pit evident. Two berms on the river left side.,,-68.08066,44.765554
11,572826,4968226,Shoppe Mill,suspect,,Beddington Lake,,,-68.078174,44.86373
12,572882,4960349,Above 73-00-0 Road,suspect,,West Branch Narraguagus River,,,-68.078596,44.792823
13,573081,4967552,Hemlock Dam,remnant,scheduled,Beddington Lake,Berm evident.,,-68.075044,44.857637
14,573393,4964621,Little Narraguagus,suspect,,Beddington Lake,,,-68.07152,44.831223
15,573582,4972839,Baker Brook,suspect,,Beddington Lake,,,-68.067936,44.905174
16,573991,4955689,unnamed,suspect,,West Branch Narraguagus River,,,-68.065254,44.750764
17,577089,4992876,Knight Dam,historic,,Fifth Machias Lake-Fourth Machias Lake,,UNH topographical maps,-68.020451,45.085148
18,577897,4988824,5th Lake,historic,completed,Fifth Machias Lake-Fourth Machias Lake,Replaced with a 25' OBA in 2010.,Elder 1987,-68.010815,45.048589
19,578646,4988116,5th Lake Outlet,historic,,Fifth Machias Lake-Fourth Machias Lake,,Elder 1987,-68.001416,45.042134
20,575926,5000420,unnamed,historic,scheduled,Fifth Machias Lake-Fourth Machias Lake,,,-68.034082,45.153173
21,579436,4981758,Lower Sabao Dam,modern,,West Branch Machias River,,,-67.992391,44.984821
22,579756,4943764,Sprague Falls,suspect,,West Branch Narraguagus River,Old mill site.,,-67.994294,44.642808
23,580559,4973358,Mopang Lake,historic,,Mopang Lake-Mopang Stream,No sign of the remnant structure.,Elder 1987,-67.979489,44.90909
24,580630,5001983,4th Lake Outlet,historic,,Fifth Machias Lake-Fourth Machias Lake,Historic log drive dam.,Elder 1987,-67.973995,45.166719
25,581755,4972491,Gravel Dam,historic,completed,Mopang Lake-Mopang Stream,Has since been removed.,Field observation,-67.964481,44.90115
26,581906,4976769,unnamed,historic,,West Branch Machias River,Currently home to an undersized culvert.,,-67.961875,44.939637
27,582997,4971121,1st Lake inlet,historic,completed,Mopang Lake-Mopang Stream,,Field observation,-67.948977,44.888675
28,583204,4970070,Mopang,historic,,Mopang Lake-Mopang Stream,Survey is required.,1881 Atlas of Washington County,-67.946528,44.879191
29,583614,4968980,Robinson Dam,historic,,Mopang Lake-Mopang Stream,Historic log drive dam. Requires a survey.,Wells 1869,-67.941518,44.869333
30,583939,4991403,unnamed,suspect,,Third Machias Lake-First Machias Lake,,1881 Atlas of Washington County,-67.933671,45.071111
31,584700,4990869,Fletcher,remnant,scheduled,Third Machias Lake-First Machias Lake,,,-67.924096,45.066214
32,584910,4981316,Rolford,historic,completed,West Branch Machias River,A remnant log drive dam.,,-67.923042,44.980209
33,585167,4990236,Fletcher,historic,completed,Third Machias Lake-First Machias Lake,A remnant rock check dam.,,-67.918272,45.060461
34,585542,4988901,Fletcher,suspect,,Third Machias Lake-First Machias Lake,,,-67.913737,45.0484
35,585812,4988385,Fletcher,suspect,,Third Machias Lake-First Machias Lake,,,-67.910398,45.043724
36,580415,4989152,Elwell Dam,historic,scheduled,,,Wells 1869,-67.978792,45.05126
37,587349,4987269,Fletcher Field,historic,,Third Machias Lake-First Machias Lake,,,-67.891079,45.033492
38,588125,4999010,unnamed,modern,,Pocumcus Lake,,,-67.879165,45.139065
39,588314,4971600,Pope Dam,historic,,Crooked River,Currently a snowmobile bridge.,,-67.881574,44.892347
40,588678,4986437,51-00-0 road,historic,completed,Third Machias Lake-First Machias Lake,,,-67.874357,45.025838
41,588955,4987394,2nd Lake Outlet,historic,,Third Machias Lake-First Machias Lake,,,-67.870672,45.034417
42,589063,4971491,unnamed,suspect,,Crooked River,,Wells 1869,-67.87211,44.891273
43,589213,4973897,Robinson Dam,historic,completed,Crooked River,The crossing has been decommisioned.,Wells 1869,-67.869786,44.912909
44,589380,4993231,3rd Lake Outlet,historic,completed,Third Machias Lake-First Machias Lake,Structure has been previously removed.,,-67.864238,45.086897
45,589461,4984469,1st Lake Outlet,historic,completed,Third Machias Lake-First Machias Lake,Structure has been previously removed.,,-67.86477,45.008028
46,589495,4971049,unnamed,suspect,,Crooked River,,,-67.866718,44.88724
47,589851,4971491,unnamed,suspect,,Crooked River,,Wells 1869,-67.862133,44.891174
48,594688,4980729,Bowles Brook,remnant,completed,Old Stream,Cribwork present.,,-67.799159,44.973689
56,594649,4980726,Bowles Brook,remnant,completed,Old Stream,Cribwork present.,,-67.799654,44.973668
49,592647,4961281,6 Mile Dam,remnant,scheduled,Mopang Lake-Mopang Stream,Cribwork present.,Wells 1869,-67.828595,44.798922
50,593506,4981693,Bowles Brook,historic,completed,Old Stream,,,-67.813967,44.982522
51,592423,4984544,Dead Stream,historic,scheduled,Old Stream,,,-67.827177,45.008323
52,593806,4975680,unnamed,historic,,Pembroke Stream-Machias River,,,-67.81128,44.928365
53,593505,4985460,Dead Stream,remnant,scheduled,Old Stream,,,-67.81328,45.016425
54,594279,4972332,Pembroke Stream,remnant,completed,Pembroke Stream-Machias River,Underneath Route 9. Cribwork evident.,,-67.805912,44.89817
55,594156,4983727,Dead Stream,remnant,scheduled,Old Stream,,,-67.805344,45.000742
57,595509,4983124,Whizgig Dam,historic,,Old Stream,A remnant log drive dam.,Field observation,-67.788295,44.995134
58,595775,4984262,2nd Lake Outlet,historic,,Old Stream,"Currently, the road is undersized.",Elder 1987,-67.784704,45.00534
59,596561,4979733,Canaan Dam,historic,completed,Old Stream,,,-67.775601,44.964473
60,596612,4980113,Canaan Dam,historic,,Old Stream,A remnant log drive dam.,,-67.774882,44.967886
61,598613,4977833,Hayward Dam,historic,,Old Stream,,Wells 1869,-67.749959,44.947092
62,601588,4978098,Chain Lake Dam,modern,,Old Stream,"A modern, working dam.",Elder 1987,-67.712203,44.949058
63,601998,4973203,Joe Hill Dam,historic,,Old Stream,,Wells 1869,-67.707995,44.904945
64,604043,4975806,Cates Dam,suspect,,Bog Lake-New Stream,,Wells 1869,-67.681563,44.928075
65,604082,4977409,unnamed,suspect,,Bog Lake-New Stream,,,-67.680738,44.942496
66,607478,4995050,Huntley Brook,suspect,,Crawford Lake,Currently home to a beaver dam.,,-67.633934,45.100748
